,time_us,GGA,lat,lon
2346,1665744851807.9678,GGA,46.0676914,11.1508921
2348,1665744851907.4304,GGA,46.0676913,11.1508921
2350,1665744852021.4385,GGA,46.0676914,11.1508921
2352,1665744852108.008,GGA,46.0676913,11.1508921
2354,1665744852207.9226,GGA,46.0676914,11.1508921
2356,1665744852308.0017,GGA,46.0676914,11.1508921
2358,1665744852408.393,GGA,46.0676914,11.1508921
2360,1665744852508.7627,GGA,46.0676914,11.1508921
2362,1665744852609.38,GGA,46.0676914,11.1508921
2364,1665744852706.792,GGA,46.0676914,11.1508921
2366,1665744852807.768,GGA,46.0676914,11.1508921
2368,1665744852907.0393,GGA,46.0676914,11.1508921
2370,1665744853020.6248,GGA,46.0676914,11.1508921
2372,1665744853107.8396,GGA,46.0676914,11.1508921
2374,1665744853207.7556,GGA,46.0676914,11.1508921
2376,1665744853306.8857,GGA,46.0676913,11.1508921
2378,1665744853407.7888,GGA,46.0676913,11.1508921
2380,1665744853508.037,GGA,46.0676913,11.1508921
2382,1665744853607.4993,GGA,46.0676913,11.1508921
2384,1665744853706.676,GGA,46.0676913,11.1508921
2386,1665744853807.3945,GGA,46.0676913,11.1508921
2388,1665744853906.8708,GGA,46.0676913,11.1508921
2390,1665744854019.635,GGA,46.0676914,11.1508921
2392,1665744854107.0132,GGA,46.0676913,11.1508921
2394,1665744854211.9673,GGA,46.0676913,11.1508921
2396,1665744854307.0286,GGA,46.0676914,11.1508921
2398,1665744854407.1467,GGA,46.0676913,11.1508921
2400,1665744854508.5435,GGA,46.0676914,11.1508921
2402,1665744854607.9722,GGA,46.0676914,11.1508921
2404,1665744854706.849,GGA,46.0676914,11.1508921
2406,1665744854807.1416,GGA,46.0676914,11.1508921
2408,1665744854907.0781,GGA,46.0676914,11.1508921
2410,1665744855019.965,GGA,46.0676914,11.1508921
2412,1665744855107.9592,GGA,46.0676913,11.1508921
2414,1665744855207.5571,GGA,46.0676914,11.1508921
2416,1665744855306.7595,GGA,46.0676914,11.1508921
2418,1665744855407.44,GGA,46.0676914,11.1508921
2420,1665744855508.5552,GGA,46.0676914,11.1508921
2422,1665744855607.445,GGA,46.0676914,11.1508921
2424,1665744855707.3877,GGA,46.0676914,11.1508921
2426,1665744855807.2732,GGA,46.0676914,11.1508921
2428,1665744855907.3928,GGA,46.0676914,11.1508921
2430,1665744856020.6409,GGA,46.0676914,11.1508921
2432,1665744856107.223,GGA,46.0676914,11.1508921
2434,1665744856207.0198,GGA,46.0676914,11.1508921
2436,1665744856307.2493,GGA,46.0676914,11.1508921
2438,1665744856408.1516,GGA,46.0676914,11.1508921
2440,1665744856508.7974,GGA,46.0676914,11.1508921
2442,1665744856608.7449,GGA,46.0676914,11.1508921
2444,1665744856707.8057,GGA,46.0676914,11.1508921
2446,1665744856808.1787,GGA,46.0676913,11.1508921
2448,1665744856907.8328,GGA,46.0676913,11.1508922
2450,1665744857019.9573,GGA,46.0676913,11.1508922
2452,1665744857108.5662,GGA,46.0676913,11.1508921
2454,1665744857209.7893,GGA,46.0676913,11.1508921
2456,1665744857306.5847,GGA,46.0676913,11.1508921
2458,1665744857408.426,GGA,46.0676914,11.1508921
2460,1665744857509.2808,GGA,46.0676914,11.1508921
2462,1665744857607.626,GGA,46.0676913,11.1508921
2464,1665744857706.8933,GGA,46.0676914,11.1508921
2466,1665744857807.6604,GGA,46.0676913,11.1508921
2468,1665744857907.1567,GGA,46.0676914,11.1508921
2470,1665744858021.528,GGA,46.0676914,11.1508921
2472,1665744858107.5308,GGA,46.0676914,11.1508921
2474,1665744858207.548,GGA,46.0676914,11.1508921
2476,1665744858306.6968,GGA,46.0676914,11.1508921
2478,1665744858407.3406,GGA,46.0676914,11.1508921
2480,1665744858508.1846,GGA,46.0676914,11.1508921
2482,1665744858608.6821,GGA,46.0676914,11.1508921
2484,1665744858706.9438,GGA,46.0676914,11.1508921
2486,1665744858808.172,GGA,46.0676914,11.1508921
2488,1665744858907.515,GGA,46.0676914,11.1508921
2490,1665744859017.7058,GGA,46.0676913,11.1508921
2492,1665744859107.765,GGA,46.0676914,11.1508921
2494,1665744859207.7627,GGA,46.0676914,11.1508921
2496,1665744859306.714,GGA,46.0676913,11.1508921
2498,1665744859407.505,GGA,46.0676914,11.1508921
2500,1665744859508.5317,GGA,46.0676913,11.1508921
2502,1665744859607.5532,GGA,46.0676914,11.1508921
2504,1665744859707.2117,GGA,46.0676914,11.1508921
2506,1665744859807.787,GGA,46.0676913,11.1508921
2508,1665744859907.3252,GGA,46.0676913,11.1508921
2510,1665744860019.9026,GGA,46.0676914,11.1508921
2512,1665744860107.0376,GGA,46.0676913,11.1508921
2514,1665744860207.4922,GGA,46.0676912,11.1508921
2516,1665744860307.0396,GGA,46.0676910,11.1508921
2518,1665744860407.7812,GGA,46.0676906,11.1508921
2520,1665744860508.0728,GGA,46.0676902,11.1508921
2522,1665744860607.6538,GGA,46.0676898,11.1508921
2524,1665744860706.9827,GGA,46.0676891,11.1508921
2526,1665744860807.058,GGA,46.0676884,11.1508921
2528,1665744860907.0796,GGA,46.0676875,11.1508921
2530,1665744861019.7974,GGA,46.0676866,11.1508921
2532,1665744861108.4368,GGA,46.0676856,11.1508921
2534,1665744861209.172,GGA,46.0676845,11.1508921
2536,1665744861307.6091,GGA,46.0676832,11.1508922
2538,1665744861407.765,GGA,46.0676820,11.1508922
2540,1665744861508.9417,GGA,46.0676806,11.1508923
2542,1665744861607.7463,GGA,46.0676792,11.1508924
2544,1665744861707.9104,GGA,46.0676778,11.1508924
2546,1665744861808.1082,GGA,46.0676763,11.1508925
2548,1665744861907.7253,GGA,46.0676748,11.1508926
2550,1665744862024.3745,GGA,46.0676732,11.1508927
2552,1665744862107.6873,GGA,46.0676716,11.1508929
2554,1665744862211.6626,GGA,46.0676700,11.1508930
2556,1665744862306.9812,GGA,46.0676683,11.1508931
2558,1665744862407.4814,GGA,46.0676666,11.1508932
2560,1665744862510.6025,GGA,46.0676648,11.1508933
2562,1665744862609.4622,GGA,46.0676631,11.1508934
2564,1665744862706.731,GGA,46.0676612,11.1508935
2566,1665744862807.1372,GGA,46.0676593,11.1508937
2568,1665744862906.8403,GGA,46.0676575,11.1508937
2570,1665744863021.2031,GGA,46.0676556,11.1508938
2572,1665744863107.523,GGA,46.0676536,11.1508940
2574,1665744863208.0657,GGA,46.0676517,11.1508941
2576,1665744863307.3809,GGA,46.0676498,11.1508943
2578,1665744863407.3704,GGA,46.0676477,11.1508944
2580,1665744863508.4622,GGA,46.0676457,11.1508943
2582,1665744863606.9536,GGA,46.0676437,11.1508941
2584,1665744863707.4685,GGA,46.0676418,11.1508938
2586,1665744863807.4084,GGA,46.0676397,11.1508935
2588,1665744863907.1511,GGA,46.0676376,11.1508932
2590,1665744864019.963,GGA,46.0676355,11.1508926
2592,1665744864107.5037,GGA,46.0676335,11.1508918
2594,1665744864207.7585,GGA,46.0676315,11.1508910
2596,1665744864307.189,GGA,46.0676296,11.1508901
2598,1665744864407.3672,GGA,46.0676277,11.1508892
2600,1665744864509.3323,GGA,46.0676258,11.1508880
2602,1665744864607.254,GGA,46.0676240,11.1508867
2604,1665744864707.0964,GGA,46.0676224,11.1508852
2606,1665744864807.7935,GGA,46.0676209,11.1508836
2608,1665744864908.0667,GGA,46.0676193,11.1508818
2610,1665744865020.4692,GGA,46.0676179,11.1508799
2612,1665744865108.1223,GGA,46.0676166,11.1508779
2614,1665744865207.2505,GGA,46.0676153,11.1508760
2616,1665744865307.184,GGA,46.0676141,11.1508739
2618,1665744865407.9812,GGA,46.0676130,11.1508718
2620,1665744865509.1309,GGA,46.0676121,11.1508694
2622,1665744865607.368,GGA,46.0676113,11.1508670
2624,1665744865707.162,GGA,46.0676106,11.1508645
2626,1665744865808.7498,GGA,46.0676099,11.1508620
2628,1665744865907.5242,GGA,46.0676093,11.1508595
2630,1665744866020.934,GGA,46.0676087,11.1508570
2632,1665744866108.029,GGA,46.0676084,11.1508544
2634,1665744866210.3418,GGA,46.0676083,11.1508517
2636,1665744866307.268,GGA,46.0676082,11.1508491
2638,1665744866410.1838,GGA,46.0676082,11.1508466
2640,1665744866509.6575,GGA,46.0676083,11.1508441
2642,1665744866609.0232,GGA,46.0676086,11.1508417
2644,1665744866709.2722,GGA,46.0676088,11.1508394
2646,1665744866807.87,GGA,46.0676091,11.1508371
2648,1665744866907.9019,GGA,46.0676096,11.1508348
2650,1665744867023.3716,GGA,46.0676100,11.1508326
2652,1665744867108.8716,GGA,46.0676106,11.1508305
2654,1665744867207.4888,GGA,46.0676112,11.1508284
2656,1665744867307.4175,GGA,46.0676119,11.1508265
2658,1665744867407.2131,GGA,46.0676126,11.1508246
2660,1665744867512.8264,GGA,46.0676134,11.1508228
2662,1665744867607.308,GGA,46.0676143,11.1508210
2664,1665744867707.4229,GGA,46.0676151,11.1508193
2666,1665744867807.021,GGA,46.0676161,11.1508176
2668,1665744867906.8916,GGA,46.0676171,11.1508161
2670,1665744868022.2854,GGA,46.0676182,11.1508145
2672,1665744868107.4846,GGA,46.0676193,11.1508131
2674,1665744868207.533,GGA,46.0676205,11.1508115
2676,1665744868307.0596,GGA,46.0676218,11.1508102
2678,1665744868407.2766,GGA,46.0676231,11.1508090
2680,1665744868509.1394,GGA,46.0676244,11.1508078
2682,1665744868609.5796,GGA,46.0676258,11.1508067
2684,1665744868711.4817,GGA,46.0676273,11.1508058
2686,1665744868807.9038,GGA,46.0676287,11.1508050
2688,1665744868907.3574,GGA,46.0676302,11.1508042
2690,1665744869019.8445,GGA,46.0676318,11.1508036
2692,1665744869108.5488,GGA,46.0676334,11.1508032
2694,1665744869207.6794,GGA,46.0676349,11.1508027
2696,1665744869307.1047,GGA,46.0676366,11.1508024
2698,1665744869407.0022,GGA,46.0676383,11.1508021
2700,1665744869509.1323,GGA,46.0676401,11.1508019
2702,1665744869607.7195,GGA,46.0676419,11.1508018
2704,1665744869706.998,GGA,46.0676437,11.1508018
2706,1665744869807.255,GGA,46.0676456,11.1508018
2708,1665744869907.289,GGA,46.0676475,11.1508018
2710,1665744870019.8108,GGA,46.0676493,11.1508019
2712,1665744870107.0688,GGA,46.0676512,11.1508021
2714,1665744870207.2136,GGA,46.0676531,11.1508024
2716,1665744870307.4211,GGA,46.0676550,11.1508026
2718,1665744870407.252,GGA,46.0676571,11.1508029
2720,1665744870509.0906,GGA,46.0676591,11.1508031
2722,1665744870607.7517,GGA,46.0676612,11.1508033
2724,1665744870707.8147,GGA,46.0676633,11.1508036
2726,1665744870807.6143,GGA,46.0676655,11.1508039
2728,1665744870908.1426,GGA,46.0676677,11.1508041
2730,1665744871019.9023,GGA,46.0676699,11.1508043
2732,1665744871108.8223,GGA,46.0676722,11.1508043
2734,1665744871207.8176,GGA,46.0676746,11.1508043
2736,1665744871307.448,GGA,46.0676770,11.1508045
2738,1665744871408.0493,GGA,46.0676794,11.1508046
2740,1665744871509.1868,GGA,46.0676819,11.1508046
2742,1665744871608.0364,GGA,46.0676843,11.1508046
2744,1665744871708.4885,GGA,46.0676868,11.1508046
2746,1665744871809.0366,GGA,46.0676893,11.1508046
